month,business_unit,total_cost,is_prediction
2025-01,Infrastructure Svcs-Confluence,2294619.0,False
2025-02,Infrastructure Svcs-Confluence,2083099.0,False
2025-03,Infrastructure Svcs-Confluence,2331878.0,False
2025-04,Infrastructure Svcs-Confluence,2256541.0,False
2025-05,Infrastructure Svcs-Confluence,2336897.0,False
2025-06,Infrastructure Svcs-Confluence,2186852.0,False
2025-07,Infrastructure Svcs-Confluence,2051366.0,False
2025-08,Infrastructure Svcs-Confluence,1953869.0,False
2025-09,Infrastructure Svcs-Confluence,1630017.3435141216,True
2025-10,Infrastructure Svcs-Confluence,1492926.6373445261,True
2025-11,Infrastructure Svcs-Confluence,1355835.9311749304,True
2025-12,Infrastructure Svcs-Confluence,1218745.2250053347,True
2025-01,Infrastructure Svcs-Jira Platform,8508724.0,False
2025-02,Infrastructure Svcs-Jira Platform,7639412.0,False
2025-03,Infrastructure Svcs-Jira Platform,8174472.0,False
2025-04,Infrastructure Svcs-Jira Platform,8008113.0,False
2025-05,Infrastructure Svcs-Jira Platform,8051209.0,False
2025-06,Infrastructure Svcs-Jira Platform,7207594.0,False
2025-07,Infrastructure Svcs-Jira Platform,7207473.0,False
2025-08,Infrastructure Svcs-Jira Platform,6856539.0,False
2025-09,Infrastructure Svcs-Jira Platform,6818342.285714286,True
2025-10,Infrastructure Svcs-Jira Platform,6620931.238095239,True
2025-11,Infrastructure Svcs-Jira Platform,6423520.190476192,True
2025-12,Infrastructure Svcs-Jira Platform,6226109.142857145,True
2025-01,Networking - COGS,1901369.0,False
2025-02,Networking - COGS,1953776.0,False
2025-03,Networking - COGS,2293303.0,False
2025-04,Networking - COGS,2402944.0,False
2025-05,Networking - COGS,2443375.0,False
2025-06,Networking - COGS,2375989.0,False
2025-07,Networking - COGS,2396583.0,False
2025-08,Networking - COGS,2212077.0,False
2025-09,Networking - COGS,2488045.8405735125,True
2025-10,Networking - COGS,2548251.641134312,True
2025-11,Networking - COGS,2608457.441695112,True
2025-12,Networking - COGS,2668663.242255911,True
2025-01,Infrastructure Svcs-Opsgenie,350899.0,False
2025-02,Infrastructure Svcs-Opsgenie,314358.0,False
